1,0.207303,1,3,3,2,32101,9092,7176,-9011,7286,0.554931641,0.437988281,-0.549987793,0.444702148,0,195,0,2,132,35,8,28,205,220,118,28,125,101
1,0.207303,2,1,3,2,37999,-99,-12017,-26,11136,-0.006042480,-0.733459473,-0.001586914,0.679687500,0,67,0,2,157,255,15,209,230,255,128,43,148,111
1,0.207303,3,2,3,1,23498,8901,7388,7387,8947,0.543273926,0.450927734,0.450866699,0.546081543,0,131,0,1,197,34,220,28,219,28,243,34,91,202
2,0.287279,1,3,3,2,28638,9091,7176,-9011,7287,0.554870605,0.437988281,-0.549987793,0.444763184,0,195,0,2,131,35,8,28,205,220,119,28,111,222
2,0.287279,2,1,3,2,32987,-98,-12018,-24,11136,-0.005981445,-0.733520508,-0.001464844,0.679687500,0,67,0,2,158,255,14,209,232,255,128,43,128,219
2,0.287279,3,2,3,2,61161,8900,7388,7387,8948,0.543212891,0.450927734,0.450866699,0.546142578,0,131,0,2,196,34,220,28,219,28,244,34,238,233
3,0.303319,1,3,3,1,58315,9091,7176,-9011,7287,0.554870605,0.437988281,-0.549987793,0.444763184,0,195,0,1,131,35,8,28,205,220,119,28,227,203
3,0.303319,2,1,3,2,4242,-99,-12018,-23,11136,-0.006042480,-0.733520508,-0.001403809,0.679687500,0,67,0,2,157,255,14,209,233,255,128,43,16,146
3,0.303319,3,2,3,2,61161,8900,7388,7387,8948,0.543212891,0.450927734,0.450866699,0.546142578,0,131,0,2,196,34,220,28,219,28,244,34,238,233
4,0.431337,1,3,3,2,45827,9091,7174,-9011,7288,0.554870605,0.437866211,-0.549987793,0.444824219,0,195,0,2,131,35,6,28,205,220,120,28,179,3
4,0.431337,2,1,3,1,9034,-99,-12017,-25,11136,-0.006042480,-0.733459473,-0.001525879,0.679687500,0,67,0,1,157,255,15,209,231,255,128,43,35,74
4,0.431337,3,2,3,2,6705,8900,7388,7387,8949,0.543212891,0.450927734,0.450866699,0.546203613,0,131,0,2,196,34,220,28,219,28,245,34,26,49
5,0.543375,1,3,3,2,50255,9090,7175,-9012,7288,0.554809570,0.437927246,-0.550048828,0.444824219,0,195,0,2,130,35,7,28,204,220,120,28,196,79
5,0.543375,2,1,3,2,39111,-99,-12016,-24,11137,-0.006042480,-0.733398438,-0.001464844,0.679748535,0,67,0,2,157,255,16,209,232,255,129,43,152,199
5,0.543375,3,2,3,3,33921,8900,7389,7386,8948,0.543212891,0.450988770,0.450805664,0.546142578,0,131,0,3,196,34,221,28,218,28,244,34,132,129
6,0.591253,1,3,3,2,25718,9090,7175,-9012,7287,0.554809570,0.437927246,-0.550048828,0.444763184,0,195,0,2,130,35,7,28,204,220,119,28,100,118
6,0.591253,2,1,3,2,7922,-99,-12017,-24,11137,-0.006042480,-0.733459473,-0.001464844,0.679748535,0,67,0,2,157,255,15,209,232,255,129,43,30,242
6,0.591253,3,2,3,1,5552,8901,7389,7386,8948,0.543273926,0.450988770,0.450805664,0.546142578,0,131,0,1,197,34,221,28,218,28,244,34,21,176
7,0.639314,1,3,3,3,65294,9091,7176,-9011,7287,0.554870605,0.437988281,-0.549987793,0.444763184,0,195,0,3,131,35,8,28,205,220,119,28,255,14
7,0.639314,2,1,3,2,59946,-99,-12017,-24,11136,-0.006042480,-0.733459473,-0.001464844,0.679687500,0,67,0,2,157,255,15,209,232,255,128,43,234,42
7,0.639314,3,2,3,2,11623,8901,7389,7386,8947,0.543273926,0.450988770,0.450805664,0.546081543,0,131,0,2,197,34,221,28,218,28,243,34,45,103
8,0.687261,1,3,3,2,39686,9091,7176,-9011,7286,0.554870605,0.437988281,-0.549987793,0.444702148,0,195,0,2,131,35,8,28,205,220,118,28,155,6
8,0.687261,2,1,3,2,59946,-99,-12017,-24,11136,-0.006042480,-0.733459473,-0.001464844,0.679687500,0,67,0,2,157,255,15,209,232,255,128,43,234,42
8,0.687261,3,2,3,2,34942,8902,7388,7387,8946,0.543334961,0.450927734,0.450866699,0.546020508,0,131,0,2,198,34,220,28,219,28,242,34,136,126
9,0.735283,1,3,3,2,23182,9091,7177,-9011,7286,0.554870605,0.438049316,-0.549987793,0.444702148,0,195,0,2,131,35,9,28,205,220,118,28,90,142
9,0.735283,2,1,3,3,31482,-99,-12017,-24,11136,-0.006042480,-0.733459473,-0.001464844,0.679687500,0,67,0,3,157,255,15,209,232,255,128,43,122,250
9,0.735283,3,2,3,3,38234,8903,7388,7387,8946,0.543395996,0.450927734,0.450866699,0.546020508,0,131,0,3,199,34,220,28,219,28,242,34,149,90
10,0.783291,1,3,3,3,51806,9091,7177,-9011,7286,0.554870605,0.438049316,-0.549987793,0.444702148,0,195,0,3,131,35,9,28,205,220,118,28,202,94
10,0.783291,2,1,3,1,42935,-99,-12018,-24,11136,-0.006042480,-0.733520508,-0.001464844,0.679687500,0,67,0,1,157,255,14,209,232,255,128,43,167,183
10,0.783291,3,2,3,1,43410,8903,7388,7387,8945,0.543395996,0.450927734,0.450866699,0.545959473,0,131,0,1,199,34,220,28,219,28,241,34,169,146
11,0.831269,1,3,3,3,3120,9092,7177,-9011,7285,0.554931641,0.438049316,-0.549987793,0.444641113,0,195,0,3,132,35,9,28,205,220,117,28,12,48
11,0.831269,2,1,3,2,11170,-99,-12018,-24,11136,-0.006042480,-0.733520508,-0.001464844,0.679687500,0,67,0,2,157,255,14,209,232,255,128,43,43,162
11,0.831269,3,2,3,2,9607,8903,7388,7387,8945,0.543395996,0.450927734,0.450866699,0.545959473,0,131,0,2,199,34,220,28,219,28,241,34,37,135
12,0.879322,1,3,3,2,31363,9091,7177,-9011,7285,0.554870605,0.438049316,-0.549987793,0.444641113,0,195,0,2,131,35,9,28,205,220,117,28,122,131
12,0.879322,2,1,3,1,43161,-99,-12018,-24,11135,-0.006042480,-0.733520508,-0.001464844,0.679626465,0,67,0,1,157,255,14,209,232,255,127,43,168,153
12,0.879322,3,2,3,2,22992,8904,7388,7387,8945,0.543457031,0.450927734,0.450866699,0.545959473,0,131,0,2,200,34,220,28,219,28,241,34,89,208
13,0.927270,1,3,3,2,23182,9091,7177,-9011,7286,0.554870605,0.438049316,-0.549987793,0.444702148,0,195,0,2,131,35,9,28,205,220,118,28,90,142
13,0.927270,2,1,3,2,25081,-99,-12018,-25,11135,-0.006042480,-0.733520508,-0.001525879,0.679626465,0,67,0,2,157,255,14,209,231,255,127,43,97,249
13,0.927270,3,2,3,2,57151,8903,7389,7386,8945,0.543395996,0.450988770,0.450805664,0.545959473,0,131,0,2,199,34,221,28,218,28,241,34,223,63
14,0.975308,1,3,3,2,23182,9091,7177,-9011,7286,0.554870605,0.438049316,-0.549987793,0.444702148,0,195,0,2,131,35,9,28,205,220,118,28,90,142
14,0.975308,2,1,3,2,50606,-98,-12018,-25,11136,-0.005981445,-0.733520508,-0.001525879,0.679687500,0,67,0,2,158,255,14,209,231,255,128,43,197,174
14,0.975308,3,2,3,2,65330,8903,7389,7386,8946,0.543395996,0.450988770,0.450805664,0.546020508,0,131,0,2,199,34,221,28,218,28,242,34,255,50
15,1.023583,1,3,3,2,39686,9091,7176,-9011,7286,0.554870605,0.437988281,-0.549987793,0.444702148,0,195,0,2,131,35,8,28,205,220,118,28,155,6
15,1.023583,2,1,3,2,1062,-98,-12017,-25,11136,-0.005981445,-0.733459473,-0.001525879,0.679687500,0,67,0,2,158,255,15,209,231,255,128,43,4,38
15,1.023583,3,2,3,1,65235,8902,7389,7386,8946,0.543334961,0.450988770,0.450805664,0.546020508,0,131,0,1,198,34,221,28,218,28,242,34,254,211
16,1.071261,1,3,3,1,58315,9091,7176,-9011,7287,0.554870605,0.437988281,-0.549987793,0.444763184,0,195,0,1,131,35,8,28,205,220,119,28,227,203
16,1.071261,2,1,3,2,1062,-98,-12017,-25,11136,-0.005981445,-0.733459473,-0.001525879,0.679687500,0,67,0,2,158,255,15,209,231,255,128,43,4,38
16,1.071261,3,2,3,2,34334,8902,7389,7386,8947,0.543334961,0.450988770,0.450805664,0.546081543,0,131,0,2,198,34,221,28,218,28,243,34,134,30
17,1.119246,1,3,3,2,28638,9091,7176,-9011,7287,0.554870605,0.437988281,-0.549987793,0.444763184,0,195,0,2,131,35,8,28,205,220,119,28,111,222
17,1.119246,2,1,3,3,24622,-98,-12017,-25,11137,-0.005981445,-0.733459473,-0.001525879,0.679748535,0,67,0,3,158,255,15,209,231,255,129,43,96,46
17,1.119246,3,2,3,1,2571,8902,7389,7386,8947,0.543334961,0.450988770,0.450805664,0.546081543,0,131,0,1,198,34,221,28,218,28,243,34,10,11
18,1.167295,1,3,3,2,50413,9092,7176,-9010,7287,0.554931641,0.437988281,-0.549926758,0.444763184,0,195,0,2,132,35,8,28,206,220,119,28,196,237
18,1.167295,2,1,3,2,30411,-98,-12016,-25,11137,-0.005981445,-0.733398438,-0.001525879,0.679748535,0,67,0,2,158,255,16,209,231,255,129,43,118,203
18,1.167295,3,2,3,2,55263,8901,7388,7387,8947,0.543273926,0.450927734,0.450866699,0.546081543,0,131,0,2,197,34,220,28,219,28,243,34,215,223
19,1.215394,1,3,3,1,18680,9092,7176,-9010,7287,0.554931641,0.437988281,-0.549926758,0.444763184,0,195,0,1,132,35,8,28,206,220,119,28,72,248
19,1.215394,2,1,3,1,5330,-99,-12016,-24,11137,-0.006042480,-0.733398438,-0.001464844,0.679748535,0,67,0,1,157,255,16,209,232,255,129,43,20,210
19,1.215394,3,2,3,3,52671,8901,7387,7387,8948,0.543273926,0.450866699,0.450866699,0.546142578,0,131,0,3,197,34,219,28,219,28,244,34,205,191
20,1.263259,1,3,3,2,53061,9093,7175,-9009,7287,0.554992676,0.437927246,-0.549865723,0.444763184,0,195,0,2,133,35,7,28,207,220,119,28,207,69
