1,0.191397,1,3,3,2,22938,9084,7189,-9015,7277,0.554443359,0.438781738,-0.550231934,0.444152832,0,195,0,2,124,35,21,28,201,220,109,28,89,154
1,0.191397,2,1,3,3,32643,-76,-12021,-2,11132,-0.004638672,-0.733703613,-0.000122070,0.679443359,0,67,0,3,180,255,11,209,254,255,124,43,127,131
1,0.191397,3,2,3,2,29307,8909,7382,7369,8959,0.543762207,0.450561523,0.449768066,0.546813965,0,131,0,2,205,34,214,28,201,28,255,34,114,123
2,0.271356,1,3,3,1,54671,9084,7189,-9015,7277,0.554443359,0.438781738,-0.550231934,0.444152832,0,195,0,1,124,35,21,28,201,220,109,28,213,143
2,0.271356,2,1,3,1,25414,-76,-12021,-2,11132,-0.004638672,-0.733703613,-0.000122070,0.679443359,0,67,0,1,180,255,11,209,254,255,124,43,99,70
2,0.271356,3,2,3,2,16598,8909,7381,7370,8959,0.543762207,0.450500488,0.449829102,0.546813965,0,131,0,2,205,34,213,28,202,28,255,34,64,214
3,0.303345,1,3,3,2,22938,9084,7189,-9015,7277,0.554443359,0.438781738,-0.550231934,0.444152832,0,195,0,2,124,35,21,28,201,220,109,28,89,154
3,0.303345,2,1,3,3,35675,-76,-12021,-2,11133,-0.004638672,-0.733703613,-0.000122070,0.679504395,0,67,0,3,180,255,11,209,254,255,125,43,139,91
3,0.303345,3,2,3,2,16598,8909,7381,7370,8959,0.543762207,0.450500488,0.449829102,0.546813965,0,131,0,2,205,34,213,28,202,28,255,34,64,214
4,0.431319,1,3,3,3,25779,9085,7189,-9015,7278,0.554504395,0.438781738,-0.550231934,0.444213867,0,195,0,3,125,35,21,28,201,220,110,28,100,179
4,0.431319,2,1,3,1,43500,-76,-12020,-2,11133,-0.004638672,-0.733642578,-0.000122070,0.679504395,0,67,0,1,180,255,12,209,254,255,125,43,169,236
4,0.431319,3,2,3,2,8055,8910,7381,7370,8958,0.543823242,0.450500488,0.449829102,0.546752930,0,131,0,2,206,34,213,28,202,28,254,34,31,119
5,0.543355,1,3,3,2,22938,9084,7189,-9015,7277,0.554443359,0.438781738,-0.550231934,0.444152832,0,195,0,2,124,35,21,28,201,220,109,28,89,154
5,0.543355,2,1,3,2,12279,-75,-12021,-3,11132,-0.004577637,-0.733703613,-0.000183105,0.679443359,0,67,0,2,181,255,11,209,253,255,124,43,47,247
5,0.543355,3,2,3,2,32803,8911,7382,7369,8957,0.543884277,0.450561523,0.449768066,0.546691895,0,131,0,2,207,34,214,28,201,28,253,34,128,35
6,0.591317,1,3,3,2,9831,9084,7190,-9015,7277,0.554443359,0.438842773,-0.550231934,0.444152832,0,195,0,2,124,35,22,28,201,220,109,28,38,103
6,0.591317,2,1,3,2,12279,-75,-12021,-3,11132,-0.004577637,-0.733703613,-0.000183105,0.679443359,0,67,0,2,181,255,11,209,253,255,124,43,47,247
6,0.591317,3,2,3,2,4033,8912,7383,7368,8957,0.543945312,0.450622559,0.449707031,0.546691895,0,131,0,2,208,34,215,28,200,28,253,34,15,193
