1,0.190498,1,3,3,2,41612,9075,7202,-9015,7276,0.553894043,0.439575195,-0.550231934,0.444091797,0,195,0,2,115,35,34,28,201,220,108,28,162,140
1,0.190498,2,1,3,2,55384,-59,-12025,15,11128,-0.003601074,-0.733947754,0.000915527,0.679199219,0,67,0,2,197,255,7,209,15,0,120,43,216,88
1,0.190498,3,2,3,2,19681,8911,7383,7370,8955,0.543884277,0.450622559,0.449829102,0.546569824,0,131,0,2,207,34,215,28,202,28,251,34,76,225
2,0.270527,1,3,3,2,6916,9075,7202,-9014,7277,0.553894043,0.439575195,-0.550170898,0.444152832,0,195,0,2,115,35,34,28,202,220,109,28,27,4
2,0.270527,2,1,3,3,18568,-59,-12025,15,11128,-0.003601074,-0.733947754,0.000915527,0.679199219,0,67,0,3,197,255,7,209,15,0,120,43,72,136
2,0.270527,3,2,3,2,19681,8911,7383,7370,8955,0.543884277,0.450622559,0.449829102,0.546569824,0,131,0,2,207,34,215,28,202,28,251,34,76,225
3,0.302501,1,3,3,2,6916,9075,7202,-9014,7277,0.553894043,0.439575195,-0.550170898,0.444152832,0,195,0,2,115,35,34,28,202,220,109,28,27,4
3,0.302501,2,1,3,1,21581,-59,-12025,15,11128,-0.003601074,-0.733947754,0.000915527,0.679199219,0,67,0,1,197,255,7,209,15,0,120,43,84,77
3,0.302501,3,2,3,2,19681,8911,7383,7370,8955,0.543884277,0.450622559,0.449829102,0.546569824,0,131,0,2,207,34,215,28,202,28,251,34,76,225
4,0.430537,1,3,3,2,31989,9076,7203,-9014,7275,0.553955078,0.439636230,-0.550170898,0.444030762,0,195,0,2,116,35,35,28,202,220,107,28,124,245
4,0.430537,2,1,3,2,55384,-59,-12025,15,11128,-0.003601074,-0.733947754,0.000915527,0.679199219,0,67,0,2,197,255,7,209,15,0,120,43,216,88
4,0.430537,3,2,3,2,30673,8911,7383,7371,8955,0.543884277,0.450622559,0.449890137,0.546569824,0,131,0,2,207,34,215,28,203,28,251,34,119,209
5,0.542520,1,3,3,2,51761,9077,7203,-9013,7275,0.554016113,0.439636230,-0.550109863,0.444030762,0,195,0,2,117,35,35,28,203,220,107,28,202,49
5,0.542520,2,1,3,2,47593,-59,-12026,15,11127,-0.003601074,-0.734008789,0.000915527,0.679138184,0,67,0,2,197,255,6,209,15,0,119,43,185,233
5,0.542520,3,2,3,3,43371,8912,7383,7370,8955,0.543945312,0.450622559,0.449829102,0.546569824,0,131,0,3,208,34,215,28,202,28,251,34,169,107
6,0.590523,1,3,3,2,155,9077,7204,-9013,7274,0.554016113,0.439697266,-0.550109863,0.443969727,0,195,0,2,117,35,36,28,203,220,106,28,0,155
6,0.590523,2,1,3,1,21581,-59,-12025,15,11128,-0.003601074,-0.733947754,0.000915527,0.679199219,0,67,0,1,197,255,7,209,15,0,120,43,84,77
6,0.590523,3,2,3,1,64538,8912,7384,7370,8954,0.543945312,0.450683594,0.449829102,0.546508789,0,131,0,1,208,34,216,28,202,28,250,34,252,26
7,0.638519,1,3,3,2,38288,9078,7203,-9013,7274,0.554077148,0.439636230,-0.550109863,0.443969727,0,195,0,2,118,35,35,28,203,220,106,28,149,144
7,0.638519,2,1,3,1,21581,-59,-12025,15,11128,-0.003601074,-0.733947754,0.000915527,0.679199219,0,67,0,1,197,255,7,209,15,0,120,43,84,77
7,0.638519,3,2,3,2,15711,8912,7384,7369,8954,0.543945312,0.450683594,0.449768066,0.546508789,0,131,0,2,208,34,216,28,201,28,250,34,61,95
8,0.686500,1,3,3,2,19756,9079,7203,-9012,7275,0.554138184,0.439636230,-0.550048828,0.444030762,0,195,0,2,119,35,35,28,204,220,107,28,77,44
8,0.686500,2,1,3,2,55384,-59,-12025,15,11128,-0.003601074,-0.733947754,0.000915527,0.679199219,0,67,0,2,197,255,7,209,15,0,120,43,216,88
8,0.686500,3,2,3,2,45227,8913,7384,7369,8954,0.544006348,0.450683594,0.449768066,0.546508789,0,131,0,2,209,34,216,28,201,28,250,34,176,171
9,0.734513,1,3,3,3,7794,9078,7202,-9011,7276,0.554077148,0.439575195,-0.549987793,0.444091797,0,195,0,3,118,35,34,28,205,220,108,28,30,114
9,0.734513,2,1,3,2,55384,-59,-12025,15,11128,-0.003601074,-0.733947754,0.000915527,0.679199219,0,67,0,2,197,255,7,209,15,0,120,43,216,88
9,0.734513,3,2,3,2,45227,8913,7384,7369,8954,0.544006348,0.450683594,0.449768066,0.546508789,0,131,0,2,209,34,216,28,201,28,250,34,176,171
10,0.782479,1,3,3,3,9538,9078,7202,-9012,7276,0.554077148,0.439575195,-0.550048828,0.444091797,0,195,0,3,118,35,34,28,204,220,108,28,37,66
10,0.782479,2,1,3,2,55384,-59,-12025,15,11128,-0.003601074,-0.733947754,0.000915527,0.679199219,0,67,0,2,197,255,7,209,15,0,120,43,216,88
10,0.782479,3,2,3,2,37030,8913,7384,7369,8953,0.544006348,0.450683594,0.449768066,0.546447754,0,131,0,2,209,34,216,28,201,28,249,34,144,166
11,0.830526,1,3,3,1,63503,9078,7203,-9012,7276,0.554077148,0.439636230,-0.550048828,0.444091797,0,195,0,1,118,35,35,28,204,220,108,28,248,15
11,0.830526,2,1,3,1,21581,-59,-12025,15,11128,-0.003601074,-0.733947754,0.000915527,0.679199219,0,67,0,1,197,255,7,209,15,0,120,43,84,77
11,0.830526,3,2,3,3,118,8913,7384,7369,8953,0.544006348,0.450683594,0.449768066,0.546447754,0,131,0,3,209,34,216,28,201,28,249,34,0,118
12,0.878494,1,3,3,2,49368,9078,7203,-9012,7275,0.554077148,0.439636230,-0.550048828,0.444030762,0,195,0,2,118,35,35,28,204,220,107,28,192,216
12,0.878494,2,1,3,2,37356,-59,-12024,15,11129,-0.003601074,-0.733886719,0.000915527,0.679260254,0,67,0,2,197,255,8,209,15,0,121,43,145,236
12,0.878494,3,2,3,1,64822,8913,7385,7369,8954,0.544006348,0.450744629,0.449768066,0.546508789,0,131,0,1,209,34,217,28,201,28,250,34,253,54
13,0.926576,1,3,3,2,49886,9079,7203,-9011,7276,0.554138184,0.439636230,-0.549987793,0.444091797,0,195,0,2,119,35,35,28,205,220,108,28,194,222
13,0.926576,2,1,3,2,37356,-59,-12024,15,11129,-0.003601074,-0.733886719,0.000915527,0.679260254,0,67,0,2,197,255,8,209,15,0,121,43,145,236
13,0.926576,3,2,3,3,27655,8912,7385,7369,8954,0.543945312,0.450744629,0.449768066,0.546508789,0,131,0,3,208,34,217,28,201,28,250,34,108,7
